epoch,dice_coef,iou_metric,learning_rate,loss,val_dice_coef,val_iou_metric,val_loss
0,0.4588797986507416,0.38464051485061646,9.999999747378752e-05,0.5369063019752502,0.29890501499176025,0.25058335065841675,0.6800732612609863
1,0.5314161777496338,0.44288966059684753,9.999999747378752e-05,0.46249252557754517,0.5756675601005554,0.47252753376960754,0.42101725935935974
2,0.5699195265769958,0.4714626371860504,9.999999747378752e-05,0.4266795217990875,0.5711402893066406,0.48924699425697327,0.42484045028686523
3,0.6029633283615112,0.497038871049881,9.999999747378752e-05,0.3951864540576935,0.6288115978240967,0.5220919847488403,0.36832964420318604
4,0.637213945388794,0.5301243662834167,9.999999747378752e-05,0.36420145630836487,0.6236374378204346,0.5329827070236206,0.37361112236976624
5,0.6438165307044983,0.5330089926719666,9.999999747378752e-05,0.3578321933746338,0.6254664659500122,0.49857035279273987,0.3724214732646942
6,0.6785869598388672,0.5758108496665955,4.999999873689376e-05,0.3218713700771332,0.6638997793197632,0.5431779026985168,0.3318832814693451
7,0.6883086562156677,0.586695671081543,4.999999873689376e-05,0.31210386753082275,0.6809006929397583,0.585832417011261,0.32133805751800537
8,0.6827040910720825,0.583119809627533,4.999999873689376e-05,0.3169741630554199,0.6905129551887512,0.5740735530853271,0.3068161904811859
9,0.7097047567367554,0.6069371104240417,4.999999873689376e-05,0.2916666567325592,0.7040425539016724,0.5971993207931519,0.3013237714767456
10,0.7213059067726135,0.6213486194610596,4.999999873689376e-05,0.2800825834274292,0.701348066329956,0.5816397070884705,0.2982977032661438
11,0.7340085506439209,0.6313877105712891,4.999999873689376e-05,0.26831719279289246,0.7287083864212036,0.6215927600860596,0.27139174938201904
12,0.7133158445358276,0.6139572858810425,4.999999873689376e-05,0.2863648533821106,0.7195461988449097,0.6156232357025146,0.28116360306739807
13,0.7275459170341492,0.6291864514350891,4.999999873689376e-05,0.27354761958122253,0.7133945226669312,0.6236665844917297,0.29513296484947205
14,0.7507476806640625,0.6540797352790833,2.499999936844688e-05,0.2494053691625595,0.7570394277572632,0.6622949242591858,0.24357137084007263
15,0.7442756295204163,0.6528162956237793,2.499999936844688e-05,0.2541072964668274,0.7584767937660217,0.6625837683677673,0.24314844608306885
16,0.7567484378814697,0.6637179851531982,2.499999936844688e-05,0.24295924603939056,0.7529619336128235,0.6709868311882019,0.24991440773010254
17,0.754944384098053,0.6626660823822021,2.499999936844688e-05,0.24395759403705597,0.7532560229301453,0.6477512121200562,0.246432825922966
18,0.7703002691268921,0.6792873740196228,1.249999968422344e-05,0.22924703359603882,0.7596319913864136,0.6584094166755676,0.2398466020822525
19,0.7751815319061279,0.6855681538581848,1.249999968422344e-05,0.22394457459449768,0.7615748643875122,0.6682958006858826,0.23845209181308746
20,0.760445237159729,0.6728982329368591,1.249999968422344e-05,0.23707105219364166,0.7655850648880005,0.6649112701416016,0.2351130247116089
21,0.7764948606491089,0.6881504058837891,1.249999968422344e-05,0.22306250035762787,0.7695603966712952,0.6682860255241394,0.23173552751541138
22,0.7249493598937988,0.62086421251297,9.999999747378752e-05,0.27654439210891724,0.5947414636611938,0.5083568096160889,0.4204183518886566
23,0.7174537181854248,0.6146480441093445,9.999999747378752e-05,0.2836451232433319,0.694936990737915,0.5782440900802612,0.30093708634376526
24,0.7182039022445679,0.6138007044792175,9.999999747378752e-05,0.28283026814460754,0.7345742583274841,0.6285123229026794,0.2675924599170685
